time,bandVelocityActual,currentRMS,feedRateActual,machineRunning,microphoneRMS,temperatureRMS,vibrationRMS,Experiment No,Piece No,Material
2025-12-12 18:20:55,56,1.528767704963684,0,True,0.1295424550771713,23.523839950561523,4.029519557952881,-1,-1,Empty
2025-12-12 18:20:56,56,1.568058729171753,25,True,0.1667496114969253,23.53200912475586,4.181766033172607,-1,-1,Empty
2025-12-12 18:20:57,0,1.5005853176116943,0,True,0.1566953510046005,23.538482666015625,4.001284122467041,-1,-1,Empty
2025-12-12 18:20:58,56,1.4867013692855835,25,True,0.1265574842691421,23.548810958862305,4.093712329864502,-1,-1,Empty
2025-12-12 18:20:59,56,1.49542236328125,25,True,0.1823005229234695,23.54279899597168,3.93496298789978,-1,-1,Empty
2025-12-12 18:21:03,56,1.5050616264343262,25,True,0.1417900770902633,23.542028427124023,4.035171031951904,-1,-1,Empty
2025-12-12 18:21:04,56,1.5739054679870603,25,True,0.1376615166664123,23.538175582885746,3.99951171875,-1,-1,Empty
2025-12-12 18:21:05,56,1.4979749917984009,25,True,0.1483331769704818,23.54480361938477,4.6737470626831055,-1,-1,Empty
2025-12-12 18:21:06,0,1.4950562715530396,0,True,0.1201986744999885,23.55759620666504,4.249989986419678,-1,-1,Empty
2025-12-12 18:21:07,56,0.437969297170639,25,True,0.0931504592299461,23.551738739013672,3.691632032394409,-1,-1,Empty
2025-12-12 18:21:08,0,0.0688208192586898,25,True,0.0551826246082782,23.528156280517575,5.07953405380249,-1,-1,Empty
2025-12-12 18:23:54,0,0.0347010269761085,53,True,0.0541816130280494,22.48569679260254,9.18199634552002,-1,-1,Empty
2025-12-12 18:23:55,25,0.62090003490448,53,True,0.123570904135704,22.498798370361328,3.523640394210815,-1,-1,Empty
2025-12-12 18:23:56,25,0.5350800156593323,53,True,0.1112428605556488,22.48816299438477,4.340593338012695,-1,-1,Empty
2025-12-12 18:23:57,26,0.7354926466941833,53,True,0.1073360964655876,22.48631477355957,3.6883387565612793,-1,-1,Empty
2025-12-12 18:23:58,26,0.793232798576355,53,True,0.1113581657409668,22.45795249938965,3.668203115463257,-1,-1,Empty
2025-12-12 18:23:59,26,0.7618317604064941,53,True,0.0950944647192955,22.45332717895508,3.675252914428711,-1,-1,Empty
2025-12-12 18:24:00,26,0.7651324272155762,53,True,0.0977414101362228,22.43683433532715,3.464560270309448,-1,-1,Empty
2025-12-12 18:24:01,26,0.765211820602417,53,True,0.0964416414499282,22.41957092285156,3.213805675506592,-1,-1,Empty
2025-12-12 18:24:02,26,0.7638952732086182,53,True,0.0946825295686721,22.393213272094727,3.626118659973145,-1,-1,Empty
2025-12-12 18:24:03,26,0.7501652240753174,53,True,0.0981023386120796,22.379493713378903,3.246090888977051,-1,-1,Empty
